documento,url,sha256,bytes,fecha_verificacion
recaudacion-0.xlsx,https://www.ec.gba.gov.ar/areas/hacienda/PolTributaria/Recaudacion/Recaudación Provincial 2026_Prensa.xlsx,f2348439a3e05d4c07f97493bd4d76f7b3f8bdb64044d2b0247f855f4cbaab52,14398,2026-09-07
recaudacion-1.xlsx,https://www.ec.gba.gov.ar/areas/hacienda/PolTributaria/Recaudacion/Recursos_OrigenProvincial_anosanteriores.xlsx,322a8e69d5da65de2eb52dd0ea3622ec1789d4bc839811be1745c44328132b24,129940,2026-09-07
ipc-oficial.xls,https://www.indec.gob.ar/ftp/cuadros/economia/sh_ipc_08_26.xls,9cb56c3b080123f5cdd87bb3d96a2854a62e17b22f7ba01666490593f54e847d,2372608,2026-09-07
oede-sectores.csv,https://www.argentina.gob.ar/sites/default/files/departamento_series_empleo_y_salarios_mensual_sector_1.csv,2b55e43b7830fe641420116cfb36429209e358174058a78314557854ba8b1faf,22464133,2026-09-07
transferencias-2024.xlsx,https://www.ec.gba.gov.ar/areas/Sub_Politica_Coord_Eco/CoordMunicipal/municipios/12-24 - Transferencias Diciembre 2024.xlsx,f55e64ca5d154e87727cf86da1f9067646d7f9b912a520c0a2791fab228d34f0,533428,2026-09-07
bancos-0.xlsx,https://anuario2024.estadistica.ec.gba.gov.ar/wp-content/uploads/2026/05/2.-Locales-de-entidades-financieras.-Por-municipio.-Provincia-de-Buenos-Aires.xlsx,0b85f86b62da1c2816e4adb5aacd7836661dadaad757e3e16bcc4efc63ecb3fe,16528,2026-09-07
bancos-1.xlsx,https://anuario2024.estadistica.ec.gba.gov.ar/wp-content/uploads/2026/05/3.-Prestamos-de-entidades-financieras.-Por-municipio.-Provincia-de-Buenos-Aires.xlsx,c9c60eae9675c2bad45c9b8882e02ad5123cc11b07f452c3f268f3b6f64bc363,23726,2026-09-07
bancos-2.xlsx,https://anuario2024.estadistica.ec.gba.gov.ar/wp-content/uploads/2026/05/4.-Depositos-en-entidades-financieras.-Por-municipio.-Provincia-de-Buenos-Aires.xlsx,88e47fec606aef556ad7a9878123a1b463dbaaf75965779c605b05252a4f2ee4,23544,2026-09-07
carmen-0.pdf,https://carmendeareco.gob.ar/wp-content/uploads/2026/07/Situacion-Economico-Financiera-Junio.pdf,3094cb2627231406dae39f4835af5f971024cc933ca707d5ebecbde0d646bc30,311663,2026-09-07
carmen-1.pdf,https://carmendeareco.gob.ar/wp-content/uploads/2026/07/Cuenta-Ahorro-Inversion-Financiamiento-Junio.pdf,e2d095f578d1473f0fd11962432313846ceb845bce56e61f65403f3cddf53697,371237,2026-09-07
asap-trans.pdf,https://www.asap.org.ar/img_informes/04171545_InformeTRFaMunicipios2021ppublicar.pdf,782cfcb9675a356f8b8f9e6d36c92b08e4df222d6846115d26213b26003f3c17,853147,2026-09-07
asap-cud.pdf,https://www.asap.org.ar/img_informes/09021537_InformeCUD2022.pdf,d9150ab4be0e11d5e8b7899c1aa39783e7d7a4fac682ea8634b6dc38041a8027,656099,2026-09-07
asap-deuda.pdf,https://www.asap.org.ar/img_informes/04141535_ServiciodeDeuda2021-MunicipiosPBAfinal.pdf,f43331a1c7c755e6520d4f2fce56ad4d0acaac4219484436b44f41ea0541baf6,403640,2026-09-07
cippec-ips-pdf.pdf,https://www.cippec.org/wp-content/uploads/2018/11/Doc-Final-1.pdf,377f5be2924ecdd97975fccc392e86b6e6cc0e09bce790d857a8ea2473fb935a,3813208,2026-09-07
uia-tasas.pdf,https://bk.uia.org.ar/documents/167/Relevamiento_Tasas_Municipales.pdf,590aaca764cc8c6c913130662730e3e8cd63440198c28bd6932da9ea38a724b1,2951985,2026-09-07
cepa-pdf.pdf,https://centrocepa.com.ar/images/2026/08/Observatorio%20PBA%20-%20%20202607%2006.08.2026.pdf,95228c62d0182043f95696e56ccd91d34d240b10ed39aad60128a8268fa430b2,851701,2026-09-07
libertad-concejos.pdf,https://dptdsbsas.nyc3.digitaloceanspaces.com/wp-content/uploads/2025/12/09111249/GASTO-DE-LOS-CONCEJOS-MUNICIPALES.pdf,cf13c6475e620f6ad1598e58fb7ec2ae5d08df92fe6f860b56a9232b1afb6c93,4327536,2026-09-07
ley10559.html,https://normas.gba.gob.ar/ar-b/ley/1987/10559/6258,e0a3002a78c965913ec157a37ec3d54f3378e2a85a15f7ae4b55eb4e1e38612f,20658,2026-09-07
ley2026texto.html,https://normas.gba.gob.ar/documentos/xDNvl7fy.html,fbff747812f740f1a26ae340f61e765912a4bed6aead57648708828c508888bc,30235,2026-09-07
transfers-0.xlsx,https://www.ec.gba.gov.ar/areas/Sub_Politica_Coord_Eco/CoordMunicipal/municipios/07-26 - Transferencias Julio 2026.xlsx,f8386b6053902c25735002356301373d0d67927d628b563261420f2dbfc0f182,468971,2026-09-07
transfers-1.xlsx,https://www.ec.gba.gov.ar/areas/Sub_Politica_Coord_Eco/CoordMunicipal/municipios/12-25 - Transferencias Diciembre 2025.xlsx,e69462538cfbf47c3c2a64923c85a2b0597195d7a475fc30f2327cdfd9e50466,548425,2026-09-07
oede-data.xlsx,https://www.argentina.gob.ar/sites/default/files/departamento_serie_empleo_remuneraciones_3.xlsx,415899365a2828be8dadcea46f6d48d9c1c23c25c0aa88c5985b19fd6574d4e3,888863,2026-09-07
pbg-data.xlsx,https://datos.estadistica.ec.gba.gov.ar/dataset/a89892fd-a2cd-4e23-a721-831c96667352/resource/242508e7-bdf7-4f99-bdbf-3be36e096cd0/download/pbg-por-municipio-2021-2022-2023-en-pesos-corrientes-y-constantes.xlsx,5476c8a1bb6c916fdeeca0d5d211cd6752b0a02cf0b94777705d146d1c860bc2,313663,2026-09-07
poblacion-total-superficie.xlsx,https://datos.estadistica.ec.gba.gov.ar/dataset/e795df1b-76c8-43d3-a245-b014d6cf458a/resource/4a1c906e-f622-4436-b9c9-c7e29cf3f549/download/07-poblacion-total-superficie-densidad-y-porcentaje-de-poblacion-urbana-por-municipio.-prov-bue.xlsx,dafad2cedce0e9d8d6267bee55da6b6f551b86e44cadc70c53fb44ed14a94b6a,34406,2026-09-07
nbi-catalog-1.xlsx,https://datos.estadistica.ec.gba.gov.ar/dataset/b82780f2-8e39-43fa-bdfa-7d847faed526/resource/abcc8266-0c4a-416c-b3b0-f643f99ea5a6/download/1.poblacion-con-necesidades-basicas-insatisfechas-n.b.i..-por-municipio.-provincia-de-buenos.xlsx,879b167787934ab786899f77dfe70ffe1a53097a67f49b7e654f7f020d427924,60329,2026-09-07
trenque-fiscal.pdf,https://www.trenquelauquen.gov.ar/wordpress/wp-content/uploads/Situacion-Economica-Financiera-II°-trimestre-2026.pdf,61e38d09e942fbde48aac3465ec6ed96dab16506d150a9ae08b832ebdc723259,344135,2026-09-07
rodriguez-fiscal.pdf,https://generalrodriguez.gob.ar/uploads/pdf/situacionecono/econo-financiera-al30062026.pdf,26b63880a57cab2ea61c8d87e35fc5f8e850ff244b2becf269b6bb1dc8ec6566,1187676,2026-09-07
