province,source,year,period_type,period,tax,value_millions
Buenos Aires,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
CABA,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
Catamarca,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
Chaco,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
Chubut,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
Corrientes,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
Córdoba,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
Entre Ríos,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
Formosa,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
Jujuy,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
La Pampa,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
La Rioja,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
Mendoza,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
Misiones,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
Neuquén,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
Río Negro,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
Salta,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
San Juan,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
San Luis,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
Santa Cruz,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
Santa Fe,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
Santiago del Estero,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
Tierra del Fuego,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
Tucumán,pendiente_top_mensual_2025,2025,month,2025-01,Iibb,
